player_id,loyalty_number,first_name,last_name,email,phone,date_of_birth,ssn_hash,ssn_masked,address,city,state,zip_code,country,loyalty_tier,points_balance,lifetime_points,tier_credits,enrollment_date,last_visit_date,total_visits,total_theo,total_actual_win_loss,average_daily_theo,preferred_game,communication_preference,marketing_opt_in,marketing_channel,host_assigned,vip_flag,self_excluded,account_status,_ingested_at,_source,_batch_id
P12345,LC123456789,J***,S***,a1b2c3d4e5f6g7h8@masked.com,***-***-4521,1975-03-15,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,XXX-XX-4521,*** Masked Address ***,Las Vegas,NV,89109,USA,Diamond,485000,2425000,242500,2015-06-12,2024-01-28,892,485000.00,-72750.00,543.72,Video Slots,Email,True,Email,HOST-001,True,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P23456,LC234567890,M***,J***,b2c3d4e5f6g7h8i9@masked.com,***-***-7832,1968-11-22,f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5,XXX-XX-7832,*** Masked Address ***,Henderson,NV,89052,USA,Platinum,125000,625000,62500,2017-03-08,2024-01-25,456,125000.00,-18750.00,274.12,Blackjack,SMS,True,SMS,HOST-003,True,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P34567,LC345678901,R***,W***,c3d4e5f6g7h8i9j0@masked.com,***-***-9145,1982-07-04,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2,XXX-XX-9145,*** Masked Address ***,Phoenix,AZ,85001,USA,Gold,32500,162500,16250,2019-09-15,2024-01-20,189,32500.00,-4875.00,172.00,Craps,Email,True,Direct Mail,HOST-012,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P45678,LC456789012,L***,B***,d4e5f6g7h8i9j0k1@masked.com,***-***-2356,1990-12-30,b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3,XXX-XX-2356,*** Masked Address ***,Los Angeles,CA,90015,USA,Silver,8500,42500,4250,2020-02-14,2024-01-18,78,8500.00,-1275.00,108.97,Video Poker,Phone,False,None,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P56789,LC567890123,A***,D***,e5f6g7h8i9j0k1l2@masked.com,***-***-6789,1955-05-18,c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4,XXX-XX-6789,*** Masked Address ***,Reno,NV,89501,USA,Bronze,1250,6250,625,2022-11-01,2024-01-15,23,1250.00,-187.50,54.35,Roulette,Mail,True,Direct Mail,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P67890,LC678901234,T***,M***,f6g7h8i9j0k1l2m3@masked.com,***-***-3412,1978-09-25,d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5,XXX-XX-3412,*** Masked Address ***,San Diego,CA,92101,USA,Gold,28750,143750,14375,2018-04-22,2024-01-22,167,28750.00,-4312.50,172.16,Baccarat,Email,True,App Push,HOST-008,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P78901,LC789012345,K***,P***,g7h8i9j0k1l2m3n4@masked.com,***-***-8901,1985-01-10,e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6,XXX-XX-8901,*** Masked Address ***,Tucson,AZ,85701,USA,Silver,6200,31000,3100,2021-07-30,2024-01-19,52,6200.00,-930.00,119.23,Video Slots,SMS,True,SMS,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P89012,LC890123456,S***,G***,h8i9j0k1l2m3n4o5@masked.com,***-***-5623,1962-04-08,f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7,XXX-XX-5623,*** Masked Address ***,Denver,CO,80202,USA,Platinum,98000,490000,49000,2016-12-05,2024-01-27,398,98000.00,-14700.00,246.23,Poker,Email,True,Email,HOST-005,True,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P90123,LC901234567,D***,H***,i9j0k1l2m3n4o5p6@masked.com,***-***-7834,1972-08-17,a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8,XXX-XX-7834,*** Masked Address ***,Salt Lake City,UT,84101,USA,Bronze,2100,10500,1050,2023-01-20,2024-01-12,15,2100.00,-315.00,140.00,Video Slots,None,False,None,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P01234,LC012345678,C***,R***,j0k1l2m3n4o5p6q7@masked.com,***-***-2145,1988-06-22,b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9,XXX-XX-2145,*** Masked Address ***,Albuquerque,NM,87102,USA,Gold,35600,178000,17800,2019-05-10,2024-01-24,201,35600.00,-5340.00,177.11,Blackjack,Email,True,Email,HOST-015,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
